Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777308369,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777308370,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777308371,2,,Aggregated,0.000000,0.000000,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1,0,1887.1734589338303,1887.1734589338303,1887.1734589338303,1887.1734589338303,334826.0
1777308372,3,,Aggregated,0.000000,0.000000,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,2,0,1800,1827.0539374789223,1766.9344160240144,1887.1734589338303,167651.0
1777308373,4,,Aggregated,0.000000,0.000000,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3,0,1890.2325000381097,1848.1134583319847,1766.9344160240144,1890.2325000381097,223376.0
1777308374,5,,Aggregated,0.666667,0.000000,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,4,0,1800,1792.6657602656633,1626.3226660666987,1890.2325000381097,167651.0
1777308375,6,,Aggregated,0.666667,0.000000,1900,1900,1900,2700,2700,2700,2700,2700,2700,2700,2700,5,0,1900,1977.8240332147107,1626.3226660666987,2718.4571250109,201086.0
1777308376,7,,Aggregated,0.600000,0.000000,1900,1900,1900,1900,2700,2700,2700,2700,2700,2700,2700,7,0,1900,1920.3349761332252,1626.3226660666987,2718.4571250109,143768.57142857142
1777308377,8,,Aggregated,0.600000,0.000000,1900,1900,1900,1900,2700,2700,2700,2700,2700,2700,2700,8,0,1800,1881.5926146198763,1610.3960840264335,2718.4571250109,125857.125
1777308378,9,,Aggregated,0.833333,0.000000,1900,2500,2700,2700,2700,5100,5100,5100,5100,5100,5100,11,0,1900,2315.342492540367,1610.3960840264335,5144.541542045772,91662.18181818182
1777308379,10,,Aggregated,0.714286,0.000000,1900,2500,2700,2700,5100,5700,5700,5700,5700,5700,5700,13,0,1900,2537.3872340692637,1610.3960840264335,5749.075207975693,77633.53846153847
1777308380,11,,Aggregated,1.000000,0.000000,1900,2100,2700,2700,5100,5700,5700,5700,5700,5700,5700,16,0,1900,2404.5164739945903,1610.3960840264335,5749.075207975693,84063.25
