Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777350717,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777350718,2,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,2,0,420,467.36402093665674,419.2272499203682,515.5007919529453,331.5
1777350719,4,,Aggregated,0.000000,0.000000,520,520,800,800,800,800,800,800,800,800,800,4,0,420,535.7936667278409,406.79708297830075,801.6495420597494,82753.75
1777350720,6,,Aggregated,1.000000,0.000000,470,520,660,670,800,800,800,800,800,800,800,9,0,470,510.2818238988726,309.49925002641976,801.6495420597494,73596.44444444444
1777350721,8,,Aggregated,1.500000,0.000000,480,560,660,670,700,800,800,800,800,800,800,13,0,480,509.53497423324734,286.4509169012308,801.6495420597494,51053.46153846154
1777350722,10,,Aggregated,2.333333,0.000000,660,700,960,1000,1100,1700,1700,1700,1700,1700,1700,18,0,560,698.2828980544582,286.4509169012308,1727.6454160455614,73596.33333333333
1777350723,12,,Aggregated,2.500000,0.000000,660,800,960,1000,1100,1100,1700,1700,1700,1700,1700,23,0,660,703.8025723911984,286.4509169012308,1727.6454160455614,57669.17391304348
1777350724,14,,Aggregated,2.800000,0.000000,700,830,1000,1100,1300,1700,1800,1800,1800,1800,1800,28,0,670,786.9180103547739,286.4509169012308,1786.2115419702604,59205.107142857145
1777350725,16,,Aggregated,3.500000,0.000000,800,1100,1200,1300,1800,2000,2200,2200,2200,2200,2200,37,0,800,966.8625754530768,286.4509169012308,2158.591749961488,80526.75675675676
1777350726,18,,Aggregated,3.285714,0.000000,830,1100,1200,1300,1800,1900,2200,2200,2200,2200,2200,41,0,830,967.9786443125411,286.4509169012308,2158.591749961488,72702.90243902439
1777350727,20,,Aggregated,4.125000,0.000000,830,1100,1200,1600,1800,1900,2200,2200,2200,2200,2200,45,0,830,989.8892990649781,286.4509169012308,2158.591749961488,73596.37777777777
1777350728,22,,Aggregated,4.333333,0.000000,940,1200,1400,1700,1900,2200,2800,2900,2900,2900,2900,51,0,940,1086.2118259583617,286.4509169012308,2859.543207916431,77906.05882352941
1777350729,24,,Aggregated,4.300000,0.000000,940,1200,1400,1700,2000,2800,2900,3500,3500,3500,3500,53,0,940,1128.7705746571587,286.4509169012308,3522.0502499723807,81199.30188679245
1777350730,26,,Aggregated,4.700000,0.000000,1000,1200,1700,1800,2200,3100,3400,3500,3500,3500,3500,59,0,1000,1227.5188474529186,286.4509169012308,3522.0502499723807,84151.45762711864
1777350731,28,,Aggregated,4.800000,0.000000,1200,1700,2000,2800,3800,4600,4900,5100,5100,5100,5100,70,0,1200,1609.7788755549118,286.4509169012308,5060.511208022945,94529.12857142858
1777350732,30,,Aggregated,4.900000,0.000000,1200,1700,2000,2900,3800,4600,4900,5100,5100,5100,5100,75,0,1200,1674.2313810888056,286.4509169012308,5060.511208022945,92645.18666666666
1777350733,32,,Aggregated,5.400000,0.000000,1300,1800,2200,3100,3900,4600,4900,5100,5100,5100,5100,79,0,1300,1747.872507375005,286.4509169012308,5060.511208022945,92144.41772151898
1777350734,34,,Aggregated,5.700000,0.000000,1400,2000,2900,3400,4100,4800,5300,7900,7900,7900,7900,87,0,1400,1925.780755742025,286.4509169012308,7886.161042028107,95070.50574712643
1777350735,36,,Aggregated,5.600000,0.000000,1500,2000,3100,3500,4200,4900,5400,7900,7900,7900,7900,92,0,1400,1983.2276562443915,286.4509169012308,7886.161042028107,97088.85869565218
1777350736,38,,Aggregated,6.000000,0.000000,1600,2200,3100,3500,4200,4900,5400,7900,7900,7900,7900,96,0,1600,2032.8725017243414,286.4509169012308,7886.161042028107,96491.60416666667
1777350737,40,,Aggregated,5.600000,0.000000,1700,2400,3400,3700,4600,5100,5800,6300,7900,7900,7900,101,0,1700,2167.984957499015,286.4509169012308,7886.161042028107,101524.0099009901
1777350738,42,,Aggregated,5.500000,0.000000,1800,2800,3700,3900,5000,5800,6500,7900,7900,7900,7900,108,0,1700,2349.8514290140183,286.4509169012308,7920.778459054418,104123.31481481482
1777350739,44,,Aggregated,5.400000,0.000000,1800,3100,3800,4100,5100,5800,6500,7900,7900,7900,7900,114,0,1800,2452.3370752842247,286.4509169012308,7920.778459054418,104444.64035087719
1777350740,46,,Aggregated,5.500000,0.000000,2000,3500,3900,4400,5500,6300,7500,7900,7900,7900,7900,122,0,2000,2656.4796441177396,286.4509169012308,7920.778459054418,108427.08196721312
1777350741,48,,Aggregated,6.000000,0.000000,2200,3700,4200,4800,5700,6500,7500,7900,7900,7900,7900,129,0,2200,2776.7568236395587,286.4509169012308,7920.778459054418,102561.47286821705
1777350742,50,,Aggregated,6.000000,0.000000,2500,3700,4300,4800,5700,6700,7500,7900,7900,7900,7900,136,0,2400,2850.7732855325553,286.4509169012308,7920.778459054418,102148.04411764706
1777350743,52,,Aggregated,6.100000,0.000000,2600,3800,4500,5000,5900,7200,7900,7900,9200,9200,9200,141,0,2600,3000.3867999391287,286.4509169012308,9213.001291966066,100875.78014184398
1777350744,54,,Aggregated,5.900000,0.000000,2700,3800,4800,5100,6200,7300,7900,9200,10000,10000,10000,146,0,2700,3104.571827625926,286.4509169012308,9989.759624935687,99690.64383561644
1777350745,56,,Aggregated,6.100000,0.000000,2800,3800,4800,5200,6300,7400,8400,9200,10000,10000,10000,149,0,2800,3152.599947982555,286.4509169012308,9989.759624935687,99902.81879194631
1777350746,58,,Aggregated,6.000000,0.000000,2900,4100,5000,5200,6500,7800,9100,9600,10000,10000,10000,156,0,2900,3302.3120870736116,286.4509169012308,9989.759624935687,97548.27564102564
1777350747,60,,Aggregated,5.700000,0.000000,3100,4300,5100,5400,7000,7600,9100,9600,10000,10000,10000,164,0,3000,3419.645204772412,286.4509169012308,9989.759624935687,100847.25
1777350748,62,,Aggregated,5.900000,0.000000,3100,4500,5200,5500,7200,7900,9200,10000,10000,10000,10000,167,0,3100,3504.207611525247,286.4509169012308,10476.943084038794,101015.77245508983
1777350749,64,,Aggregated,6.100000,0.000000,3400,4800,5300,5800,7300,7900,9600,10000,10000,10000,10000,174,0,3200,3630.044604153854,286.4509169012308,10476.943084038794,102649.58620689655
1777350750,66,,Aggregated,6.200000,0.000000,3500,4900,5400,5900,7500,8700,9900,10000,10000,10000,10000,181,0,3500,3761.577919177011,286.4509169012308,10476.943084038794,102335.50828729282
1777350751,68,,Aggregated,5.700000,0.000000,3700,5100,5800,6200,7600,8700,10000,10000,10000,10000,10000,189,0,3700,3898.410253508864,286.4509169012308,10485.07604189217,106739.85185185185
1777350752,70,,Aggregated,6.000000,0.000000,3800,5200,5800,6300,7700,9100,10000,11000,11000,11000,11000,194,0,3700,4005.677172665715,286.4509169012308,10867.73841700051,105696.81443298969
1777350753,72,,Aggregated,6.000000,0.000000,3800,5200,5900,6600,7900,9200,10000,11000,12000,12000,12000,201,0,3800,4124.774293111062,286.4509169012308,12111.229083966464,105307.89552238806
1777350754,74,,Aggregated,6.000000,0.000000,3800,5200,6000,6700,7900,9600,10000,11000,16000,16000,16000,203,0,3800,4199.658633001593,286.4509169012308,15758.475249982439,105897.73891625616
1777350755,76,,Aggregated,5.900000,0.000000,3800,5200,6200,6700,8100,10000,11000,12000,16000,16000,16000,207,0,3800,4263.8016437160095,286.4509169012308,15758.475249982439,105450.51207729468
1777350756,78,,Aggregated,5.800000,0.000000,4000,5400,6200,7200,8700,10000,11000,12000,16000,16000,16000,214,0,3900,4396.538858057683,286.4509169012308,15758.475249982439,109715.08878504673
1777350757,80,,Aggregated,5.800000,0.000000,4200,5500,6500,7200,8700,10000,11000,12000,16000,16000,16000,220,0,4100,4471.159874052021,286.4509169012308,15758.475249982439,106731.91818181818
1777350758,82,,Aggregated,5.600000,0.000000,4200,5700,6700,7400,8800,10000,12000,13000,16000,16000,16000,226,0,4200,4618.128693037753,286.4509169012308,15758.475249982439,106824.74778761061
1777350759,84,,Aggregated,5.700000,0.000000,4400,5800,6800,7500,9100,11000,13000,14000,19000,19000,19000,231,0,4400,4750.818808630081,286.4509169012308,18589.240417000838,108801.39393939394
1777350760,86,,Aggregated,5.700000,0.000000,4600,5800,6800,7500,9100,11000,13000,14000,19000,19000,19000,234,0,4500,4778.483264429821,286.4509169012308,18589.240417000838,107410.75213675214
1777350761,88,,Aggregated,6.000000,0.000000,4800,5900,7200,7600,9200,11000,14000,16000,20000,20000,20000,242,0,4800,4980.12015548552,286.4509169012308,19802.730833995156,106595.65702479339
1777350762,90,,Aggregated,5.500000,0.000000,4900,6200,7300,7800,10000,11000,14000,16000,20000,20000,20000,249,0,4900,5114.949916841473,286.4509169012308,19802.730833995156,108904.55421686747
1777350763,92,,Aggregated,5.100000,0.000000,5000,6400,7500,7900,10000,12000,14000,16000,20000,20000,20000,258,0,5000,5250.177726421195,286.4509169012308,19802.730833995156,107672.85271317829
1777350764,94,,Aggregated,5.500000,0.000000,5100,6400,7500,7900,10000,13000,15000,19000,20000,20000,20000,262,0,5000,5334.1318810410185,286.4509169012308,19802.730833995156,107292.41221374046
1777350765,96,,Aggregated,5.400000,0.000000,5100,6500,7600,8100,10000,13000,15000,19000,21000,21000,21000,266,0,5100,5422.148674961505,286.4509169012308,21244.86466590315,108162.86090225563
1777350766,98,,Aggregated,5.900000,0.000000,5100,6700,7600,8400,11000,13000,16000,19000,21000,21000,21000,273,0,5100,5532.201078295667,286.4509169012308,21244.86466590315,105397.96703296703
1777350767,100,,Aggregated,6.100000,0.000000,5200,6700,7800,8600,11000,14000,16000,20000,25000,25000,25000,279,1,5200,5666.210102745228,286.4509169012308,24669.83137500938,105500.66666666667
1777350768,102,,Aggregated,5.900000,0.000000,5300,6900,7900,8800,11000,14000,19000,20000,25000,25000,25000,286,1,5200,5855.419095279567,286.4509169012308,24669.83137500938,104079.36013986015
1777350769,104,,Aggregated,5.900000,0.000000,5300,7200,8400,9100,11000,15000,19000,20000,25000,25000,25000,291,1,5300,5996.082915522036,286.4509169012308,24669.83137500938,104562.6735395189
1777350770,106,,Aggregated,5.900000,0.100000,5400,7300,8400,9200,12000,15000,19000,20000,25000,25000,25000,297,1,5400,6141.390191774066,286.4509169012308,24669.83137500938,104677.1313131313
1777350771,108,,Aggregated,5.800000,0.100000,5500,7400,8600,9600,13000,15000,19000,20000,25000,25000,25000,302,1,5400,6241.6123050467,286.4509169012308,24669.83137500938,104041.2582781457
1777350772,110,,Aggregated,6.300000,0.100000,5500,7500,8600,9700,13000,16000,19000,20000,25000,25000,25000,304,1,5500,6306.4586935265415,286.4509169012308,24669.83137500938,104443.46710526316
1777350773,112,,Aggregated,6.200000,0.100000,5700,7600,8800,9900,13000,17000,20000,22000,25000,25000,25000,311,1,5700,6472.986774646357,286.4509169012308,24669.83137500938,106340.50160771704
1777350774,114,,Aggregated,5.700000,0.100000,5800,7600,8800,10000,13000,18000,20000,23000,25000,25000,25000,315,1,5800,6578.285160044297,286.4509169012308,24669.83137500938,106040.99365079365
1777350775,116,,Aggregated,5.400000,0.100000,5800,7600,9000,10000,13000,18000,20000,23000,25000,25000,25000,321,2,5800,6645.752559703952,286.4509169012308,24669.83137500938,106118.22741433022
1777350776,118,,Aggregated,5.100000,0.100000,5800,7600,9200,10000,13000,18000,20000,23000,25000,25000,25000,324,2,5800,6717.079597345645,286.4509169012308,24669.83137500938,106156.28086419753
1777350777,120,,Aggregated,5.100000,0.200000,5900,7800,9600,10000,14000,19000,22000,23000,25000,25000,25000,331,2,5900,6922.500381039405,286.4509169012308,24669.83137500938,105910.39274924471
1777350778,122,,Aggregated,5.300000,0.200000,5900,7900,9600,10000,15000,19000,22000,23000,25000,25000,25000,338,4,5900,6957.074512938346,286.4509169012308,24669.83137500938,104697.30769230769
1777350779,124,,Aggregated,5.100000,0.200000,5900,7900,9600,11000,15000,19000,22000,23000,25000,25000,25000,343,4,5900,7036.243664233473,286.4509169012308,24669.83137500938,104137.14577259475
1777350780,126,,Aggregated,5.200000,0.100000,6000,8100,9800,11000,15000,19000,22000,23000,25000,25000,25000,349,4,6000,7179.985984957065,286.4509169012308,24669.83137500938,103297.19770773638
1777350781,128,,Aggregated,5.500000,0.300000,6000,8400,10000,11000,16000,19000,22000,24000,29000,29000,29000,355,5,6000,7328.339499295493,286.4509169012308,29034.55691691488,102484.71267605634
1777350782,130,,Aggregated,5.000000,0.300000,6200,8600,10000,12000,17000,19000,22000,25000,29000,29000,29000,362,5,6200,7536.957082524188,286.4509169012308,29034.55691691488,102330.87016574586
1777350783,132,,Aggregated,5.400000,0.300000,6200,8700,10000,12000,17000,20000,23000,25000,31000,31000,31000,366,5,6200,7685.981775384302,286.4509169012308,31310.31199998688,101216.12295081967
1777350784,134,,Aggregated,5.400000,0.400000,6400,8800,11000,13000,17000,21000,24000,25000,31000,31000,31000,372,5,6300,7897.495524410123,286.4509169012308,31310.31199998688,102247.75806451614
1777350785,136,,Aggregated,5.900000,0.400000,6500,9000,11000,13000,18000,21000,24000,25000,31000,31000,31000,376,5,6500,7977.665168764515,286.4509169012308,31310.31199998688,102040.3829787234
1777350786,138,,Aggregated,5.700000,0.400000,6700,9200,11000,13000,18000,21000,24000,25000,31000,31000,31000,383,5,6700,8179.035723123666,286.4509169012308,31310.31199998688,103624.72323759791
1777350787,140,,Aggregated,5.700000,0.300000,6800,9600,12000,14000,18000,21000,24000,25000,31000,31000,31000,391,5,6800,8371.642929450918,286.4509169012308,31310.31199998688,105727.30179028133
1777350788,142,,Aggregated,5.700000,0.300000,7000,9600,12000,15000,19000,22000,25000,26000,31000,31000,31000,400,6,6900,8536.555616453697,286.4509169012308,31310.31199998688,105827.7575
1777350789,144,,Aggregated,6.000000,0.300000,7200,9700,13000,15000,19000,22000,25000,25000,31000,31000,31000,409,6,7200,8663.935176033669,286.4509169012308,31310.31199998688,106730.68948655257
1777350790,146,,Aggregated,6.100000,0.300000,7300,10000,13000,15000,19000,22000,25000,25000,31000,31000,31000,415,6,7300,8801.015825898117,286.4509169012308,31310.31199998688,105986.81927710843
1777350791,148,,Aggregated,6.100000,0.200000,7400,10000,13000,15000,20000,23000,25000,26000,33000,33000,33000,423,6,7400,8997.854843672947,286.4509169012308,32928.501167101786,105547.42789598109
1777350792,150,,Aggregated,6.800000,0.200000,7400,10000,13000,15000,20000,23000,25000,27000,33000,33000,33000,428,8,7400,9053.99416442188,286.4509169012308,32928.501167101786,105857.33411214953
1777350793,152,,Aggregated,6.400000,0.200000,7500,10000,13000,15000,20000,23000,25000,28000,33000,33000,33000,432,9,7400,9118.105318764854,286.4509169012308,32928.501167101786,106405.82175925926
1777350794,154,,Aggregated,6.800000,0.100000,7500,10000,13000,16000,20000,24000,26000,28000,33000,33000,33000,437,11,7500,9160.031512772315,286.4509169012308,32928.501167101786,106699.52402745995
1777350795,156,,Aggregated,6.600000,0.300000,7500,10000,14000,16000,20000,24000,26000,28000,33000,33000,33000,440,11,7500,9185.262034751147,286.4509169012308,32928.501167101786,106723.59090909091
1777350796,158,,Aggregated,6.500000,0.500000,7600,11000,14000,16000,20000,23000,26000,28000,33000,33000,33000,447,11,7600,9305.041067201699,286.4509169012308,32928.501167101786,106532.63087248322
1777350797,160,,Aggregated,6.500000,0.600000,7600,11000,14000,16000,20000,23000,25000,28000,33000,33000,33000,452,12,7600,9391.434904217022,286.4509169012308,32928.501167101786,106815.91150442477
1777350798,162,,Aggregated,6.400000,0.600000,7600,11000,15000,16000,21000,23000,25000,28000,33000,33000,33000,456,12,7600,9490.745574096523,286.4509169012308,32928.501167101786,105881.8399122807
1777350799,164,,Aggregated,6.300000,0.600000,7700,11000,15000,17000,21000,23000,26000,29000,33000,33000,33000,462,12,7600,9586.865437762091,286.4509169012308,32928.501167101786,105938.29220779221
1777350800,166,,Aggregated,5.900000,0.700000,7800,11000,15000,17000,21000,24000,26000,29000,33000,33000,33000,467,12,7800,9691.721776580613,286.4509169012308,32928.501167101786,106925.53104925054
1777350801,168,,Aggregated,5.600000,0.600000,7900,11000,15000,17000,21000,24000,26000,30000,34000,34000,34000,473,12,7900,9770.90923131289,286.4509169012308,33784.050624934025,106270.41649048626
1777350802,170,,Aggregated,5.100000,0.600000,8000,12000,15000,17000,21000,24000,27000,30000,34000,34000,34000,481,12,8000,9938.455883303674,286.4509169012308,33784.050624934025,106564.71933471934
1777350803,172,,Aggregated,5.300000,0.600000,8400,12000,15000,17000,21000,24000,29000,33000,39000,39000,39000,488,13,8100,10145.312857909556,286.4509169012308,38994.54024992883,105040.19672131147
1777350804,174,,Aggregated,5.200000,0.600000,8400,13000,16000,18000,22000,24000,30000,34000,39000,39000,39000,496,14,8400,10313.563862639,286.4509169012308,38994.54024992883,104680.07661290323
1777350805,176,,Aggregated,5.300000,0.500000,8600,13000,16000,18000,22000,25000,30000,33000,39000,39000,39000,502,14,8500,10476.84430095216,286.4509169012308,38994.54024992883,104089.63944223107
1777350806,178,,Aggregated,5.600000,0.300000,8700,13000,16000,18000,22000,25000,30000,33000,39000,39000,39000,508,14,8600,10620.081142297355,286.4509169012308,38994.54024992883,102864.15157480315
1777350807,180,,Aggregated,5.900000,0.300000,8700,13000,17000,18000,22000,25000,31000,34000,39000,39000,39000,513,14,8700,10732.174560013971,286.4509169012308,38994.54024992883,102507.477582846
1777350808,182,,Aggregated,6.200000,0.300000,8800,14000,17000,19000,23000,25000,31000,34000,39000,39000,39000,520,14,8800,10892.511918664184,286.4509169012308,38994.54024992883,101766.05769230769
1777350809,184,,Aggregated,6.000000,0.300000,9000,14000,17000,19000,23000,26000,31000,35000,39000,39000,39000,527,15,9000,11104.242500150796,286.4509169012308,38994.54024992883,101669.29791271347
1777350810,186,,Aggregated,6.100000,0.200000,9100,14000,17000,19000,23000,27000,32000,35000,39000,39000,39000,533,16,9100,11222.482323710323,286.4509169012308,38994.54024992883,101765.0262664165
1777350811,188,,Aggregated,6.300000,0.200000,9200,14000,18000,20000,24000,28000,33000,36000,39000,39000,39000,540,17,9200,11421.591403080729,286.4509169012308,39020.237541990355,100449.53703703704
1777350812,190,,Aggregated,6.500000,0.300000,9400,14000,18000,20000,24000,27000,33000,36000,39000,39000,39000,543,17,9400,11463.670657759638,286.4509169012308,39020.237541990355,100503.56721915286
1777350813,192,,Aggregated,6.500000,0.400000,9500,15000,18000,20000,24000,28000,33000,36000,39000,39000,39000,551,18,9500,11612.539657735782,286.4509169012308,39020.237541990355,100843.61705989111
1777350814,194,,Aggregated,6.400000,0.500000,9600,15000,18000,20000,24000,28000,33000,36000,39000,39000,39000,558,18,9600,11747.713719672392,286.4509169012308,39020.237541990355,100764.39964157707
1777350815,196,,Aggregated,6.100000,0.400000,9700,15000,18000,20000,24000,28000,34000,36000,39000,39000,39000,566,19,9700,11863.99664449902,286.4509169012308,39020.237541990355,100509.25441696114
1777350816,198,,Aggregated,6.300000,0.500000,9800,15000,19000,21000,24000,28000,34000,36000,42000,42000,42000,573,20,9800,11987.674433674605,286.4509169012308,42162.81637502834,99860.24607329843
1777350817,200,,Aggregated,6.200000,0.400000,9900,16000,19000,21000,25000,28000,34000,36000,42000,42000,42000,580,21,9900,12074.84697872825,286.4509169012308,42162.81637502834,99226.9
1777350818,202,,Aggregated,6.300000,0.500000,10000,16000,19000,21000,25000,29000,34000,36000,42000,42000,42000,588,23,10000,12216.721674455108,286.4509169012308,42162.81637502834,99001.65646258503
1777350819,204,,Aggregated,6.700000,0.600000,10000,16000,19000,21000,25000,29000,34000,36000,42000,42000,42000,592,23,10000,12294.456252176748,286.4509169012308,42162.81637502834,98334.96621621621
1777350820,206,,Aggregated,6.700000,0.700000,10000,16000,19000,21000,25000,30000,36000,37000,45000,45000,45000,598,24,10000,12452.719390396001,286.4509169012308,44759.552250034176,97902.42642140469
1777350821,208,,Aggregated,6.800000,0.900000,10000,16000,20000,21000,25000,30000,35000,36000,45000,45000,45000,603,25,10000,12524.780758908504,286.4509169012308,44759.552250034176,97639.58208955223
1777350822,210,,Aggregated,6.400000,0.800000,10000,16000,20000,21000,26000,30000,36000,37000,45000,45000,45000,610,27,10000,12643.022868432463,286.4509169012308,44759.552250034176,98143.27540983606
1777350823,212,,Aggregated,6.400000,0.800000,11000,17000,20000,21000,26000,30000,36000,37000,45000,45000,45000,615,27,11000,12747.70075764348,286.4509169012308,44759.552250034176,98956.30569105691
1777350824,214,,Aggregated,6.500000,0.800000,11000,17000,20000,21000,26000,30000,36000,37000,45000,45000,45000,618,27,11000,12818.852585342542,286.4509169012308,44759.552250034176,99011.02427184465
1777350825,216,,Aggregated,6.700000,1.000000,11000,17000,20000,22000,26000,31000,36000,37000,45000,45000,45000,623,27,11000,12936.715456449134,286.4509169012308,44759.552250034176,98748.25521669342
1777350826,218,,Aggregated,6.300000,0.900000,11000,17000,20000,22000,26000,31000,36000,38000,45000,45000,45000,628,27,11000,13067.066680720805,286.4509169012308,44759.552250034176,99014.65445859873
1777350827,220,,Aggregated,5.900000,0.900000,11000,17000,20000,22000,26000,31000,36000,38000,45000,45000,45000,634,27,11000,13175.219093575193,286.4509169012308,44759.552250034176,99120.78233438486
1777350828,220,,Aggregated,5.700000,0.800000,11000,17000,21000,22000,27000,31000,36000,38000,45000,45000,45000,640,27,11000,13305.28457401524,286.4509169012308,44759.552250034176,99224.91875
1777350829,220,,Aggregated,5.500000,0.700000,11000,18000,21000,22000,27000,31000,36000,38000,45000,45000,45000,644,27,11000,13400.469156566383,286.4509169012308,44759.552250034176,99634.55900621117
1777350830,220,,Aggregated,5.400000,0.600000,11000,18000,21000,22000,27000,32000,36000,38000,45000,45000,45000,650,28,11000,13491.410548005682,286.4509169012308,44759.552250034176,100239.05230769231
1777350831,220,,Aggregated,5.200000,0.400000,12000,18000,21000,23000,27000,33000,36000,39000,45000,45000,45000,660,29,12000,13740.762312493329,286.4509169012308,44759.552250034176,99723.86060606061
1777350832,220,,Aggregated,5.200000,0.400000,12000,18000,21000,23000,28000,33000,36000,39000,45000,45000,45000,664,29,12000,13831.262953871339,286.4509169012308,44759.552250034176,99621.63403614458
1777350833,220,,Aggregated,5.300000,0.400000,12000,18000,21000,23000,28000,34000,36000,39000,45000,45000,45000,670,31,12000,14003.752049557865,286.4509169012308,44759.552250034176,99223.55970149254
1777350834,220,,Aggregated,5.700000,0.400000,13000,19000,22000,24000,29000,34000,37000,40000,45000,45000,45000,675,34,13000,14138.801967155146,286.4509169012308,44759.552250034176,98489.55407407407
1777350835,220,,Aggregated,5.500000,0.200000,13000,19000,22000,24000,29000,35000,38000,41000,45000,45000,45000,683,36,13000,14355.5495916865,286.4509169012308,44759.552250034176,97821.56808199121
